time,pv_power_w,ghi,sun_alt,temp_air,wind_speed,pv_power_kw
2020-01-01 00:00:00+00:00,0.0,0.0,0.0,-1.92,1.31,0.0
2020-01-01 01:00:00+00:00,0.0,0.0,0.0,-2.39,1.52,0.0
2020-01-01 02:00:00+00:00,0.0,0.0,0.0,-2.28,1.59,0.0
2020-01-01 03:00:00+00:00,0.0,0.0,0.0,-1.91,1.59,0.0
2020-01-01 04:00:00+00:00,0.0,0.0,0.0,-1.74,1.52,0.0
2020-01-01 05:00:00+00:00,0.0,0.0,0.0,-1.69,1.52,0.0
2020-01-01 06:00:00+00:00,0.0,0.0,0.0,-1.76,1.45,0.0
2020-01-01 07:00:00+00:00,1504.05,356.42,9.27,-1.51,1.59,1.5040499999999999
2020-01-01 08:00:00+00:00,2449.1,583.94,16.61,1.37,1.79,2.4491
2020-01-01 09:00:00+00:00,3010.1,725.9,21.92,2.56,2.69,3.0101
2020-01-01 10:00:00+00:00,3254.35,795.23,24.68,2.99,2.62,3.25435
2020-01-01 11:00:00+00:00,3211.6,783.89,24.56,3.46,2.76,3.2116
2020-01-01 12:00:00+00:00,2491.2,593.39,21.56,3.65,2.9,2.4911999999999996
2020-01-01 13:00:00+00:00,1282.2,304.88,16.04,3.47,2.62,1.2822
2020-01-01 14:00:00+00:00,1254.35,304.08,8.55,2.88,2.41,1.2543499999999999
2020-01-01 15:00:00+00:00,0.0,0.0,0.0,1.87,1.93,0.0
2020-01-01 16:00:00+00:00,0.0,0.0,0.0,0.12,1.79,0.0
2020-01-01 17:00:00+00:00,0.0,0.0,0.0,-1.28,1.66,0.0
2020-01-01 18:00:00+00:00,0.0,0.0,0.0,-1.76,1.66,0.0
2020-01-01 19:00:00+00:00,0.0,0.0,0.0,-2.16,1.72,0.0
2020-01-01 20:00:00+00:00,0.0,0.0,0.0,-2.28,1.66,0.0
2020-01-01 21:00:00+00:00,0.0,0.0,0.0,-2.4,1.59,0.0
2020-01-01 22:00:00+00:00,0.0,0.0,0.0,-2.75,1.59,0.0
2020-01-01 23:00:00+00:00,0.0,0.0,0.0,-2.55,1.59,0.0
2020-01-02 00:00:00+00:00,0.0,0.0,0.0,-2.63,1.59,0.0
2020-01-02 01:00:00+00:00,0.0,0.0,0.0,-2.87,1.52,0.0
2020-01-02 02:00:00+00:00,0.0,0.0,0.0,-3.0,1.45,0.0
2020-01-02 03:00:00+00:00,0.0,0.0,0.0,-2.99,1.45,0.0
2020-01-02 04:00:00+00:00,0.0,0.0,0.0,-3.31,1.38,0.0
2020-01-02 05:00:00+00:00,0.0,0.0,0.0,-3.48,1.45,0.0
2020-01-02 06:00:00+00:00,0.0,0.0,0.0,-3.9,1.45,0.0
2020-01-02 07:00:00+00:00,1432.45,337.72,9.27,-2.9,1.45,1.43245
2020-01-02 08:00:00+00:00,2473.05,585.15,16.64,-0.45,1.72,2.47305
2020-01-02 09:00:00+00:00,2964.45,713.61,21.97,0.77,2.0,2.96445
2020-01-02 10:00:00+00:00,3253.15,797.75,24.76,1.87,2.0,3.25315
2020-01-02 11:00:00+00:00,3253.1,801.03,24.65,2.63,2.0,3.2531
2020-01-02 12:00:00+00:00,2986.2,727.29,21.67,3.01,2.07,2.9861999999999997
2020-01-02 13:00:00+00:00,2327.85,556.4,16.17,3.03,2.07,2.3278499999999998
2020-01-02 14:00:00+00:00,1310.2,318.17,8.68,2.57,1.52,1.3102
2020-01-02 15:00:00+00:00,0.0,0.0,0.0,1.45,1.31,0.0
2020-01-02 16:00:00+00:00,0.0,0.0,0.0,-0.62,1.31,0.0
2020-01-02 17:00:00+00:00,0.0,0.0,0.0,-1.48,1.31,0.0
2020-01-02 18:00:00+00:00,0.0,0.0,0.0,-2.13,1.31,0.0
2020-01-02 19:00:00+00:00,0.0,0.0,0.0,-2.33,1.38,0.0
2020-01-02 20:00:00+00:00,0.0,0.0,0.0,-2.51,1.31,0.0
2020-01-02 21:00:00+00:00,0.0,0.0,0.0,-2.67,1.31,0.0
2020-01-02 22:00:00+00:00,0.0,0.0,0.0,-2.86,1.31,0.0
2020-01-02 23:00:00+00:00,0.0,0.0,0.0,-2.96,1.31,0.0
2020-01-03 00:00:00+00:00,0.0,0.0,0.0,-3.14,1.31,0.0
2020-01-03 01:00:00+00:00,0.0,0.0,0.0,-3.37,1.38,0.0
2020-01-03 02:00:00+00:00,0.0,0.0,0.0,-3.42,1.31,0.0
2020-01-03 03:00:00+00:00,0.0,0.0,0.0,-3.53,1.38,0.0
2020-01-03 04:00:00+00:00,0.0,0.0,0.0,-3.63,1.38,0.0
2020-01-03 05:00:00+00:00,0.0,0.0,0.0,-3.58,1.38,0.0
2020-01-03 06:00:00+00:00,0.0,0.0,0.0,-3.53,1.38,0.0
2020-01-03 07:00:00+00:00,1528.95,359.34,9.29,-3.67,1.38,1.52895
2020-01-03 08:00:00+00:00,2390.65,570.83,16.67,0.18,1.03,2.39065
2020-01-03 09:00:00+00:00,2947.6,730.49,22.03,3.16,0.97,2.9476
2020-01-03 10:00:00+00:00,3208.85,813.52,24.84,5.2,1.1,3.20885
2020-01-03 11:00:00+00:00,3141.5,797.35,24.76,6.54,1.24,3.1415
2020-01-03 12:00:00+00:00,2887.75,726.47,21.79,7.29,1.24,2.88775
2020-01-03 13:00:00+00:00,2273.1,560.11,16.3,7.33,1.17,2.2731
2020-01-03 14:00:00+00:00,1371.05,339.93,8.82,6.57,1.03,1.3710499999999999
2020-01-03 15:00:00+00:00,0.0,0.0,0.0,4.21,1.17,0.0
2020-01-03 16:00:00+00:00,0.0,0.0,0.0,2.16,1.38,0.0
2020-01-03 17:00:00+00:00,0.0,0.0,0.0,0.38,1.52,0.0
2020-01-03 18:00:00+00:00,0.0,0.0,0.0,-1.36,1.59,0.0
2020-01-03 19:00:00+00:00,0.0,0.0,0.0,-2.57,1.66,0.0
2020-01-03 20:00:00+00:00,0.0,0.0,0.0,-3.06,1.59,0.0
2020-01-03 21:00:00+00:00,0.0,0.0,0.0,-3.35,1.59,0.0
2020-01-03 22:00:00+00:00,0.0,0.0,0.0,-3.56,1.66,0.0
2020-01-03 23:00:00+00:00,0.0,0.0,0.0,-3.7,1.66,0.0
2020-01-04 00:00:00+00:00,0.0,0.0,0.0,-3.83,1.59,0.0
2020-01-04 01:00:00+00:00,0.0,0.0,0.0,-3.9,1.59,0.0
2020-01-04 02:00:00+00:00,0.0,0.0,0.0,-4.09,1.66,0.0
2020-01-04 03:00:00+00:00,0.0,0.0,0.0,-4.25,1.66,0.0
2020-01-04 04:00:00+00:00,0.0,0.0,0.0,-4.35,1.66,0.0
2020-01-04 05:00:00+00:00,0.0,0.0,0.0,-4.44,1.66,0.0
2020-01-04 06:00:00+00:00,0.0,0.0,0.0,-4.5,1.66,0.0
2020-01-04 07:00:00+00:00,1507.8,353.29,9.31,-4.07,1.59,1.5078
2020-01-04 08:00:00+00:00,2389.05,571.72,16.71,0.97,1.17,2.38905
2020-01-04 09:00:00+00:00,2409.25,590.07,22.1,5.15,0.97,2.40925
2020-01-04 10:00:00+00:00,2652.3,665.34,24.93,7.71,0.97,2.6523000000000003
2020-01-04 11:00:00+00:00,2781.75,706.22,24.87,9.03,1.03,2.78175
2020-01-04 12:00:00+00:00,2043.3,504.12,21.92,9.39,1.24,2.0433
2020-01-04 13:00:00+00:00,1280.6,314.38,16.44,8.68,1.1,1.2806
2020-01-04 14:00:00+00:00,567.85,148.84,8.96,7.22,1.24,0.5678500000000001
2020-01-04 15:00:00+00:00,0.0,0.0,0.0,4.83,1.38,0.0
2020-01-04 16:00:00+00:00,0.0,0.0,0.0,3.19,1.52,0.0
2020-01-04 17:00:00+00:00,0.0,0.0,0.0,2.21,1.59,0.0
2020-01-04 18:00:00+00:00,0.0,0.0,0.0,1.59,1.59,0.0
2020-01-04 19:00:00+00:00,0.0,0.0,0.0,1.25,1.59,0.0
2020-01-04 20:00:00+00:00,0.0,0.0,0.0,1.08,1.59,0.0
2020-01-04 21:00:00+00:00,0.0,0.0,0.0,1.05,1.45,0.0
2020-01-04 22:00:00+00:00,0.0,0.0,0.0,0.6,1.52,0.0
2020-01-04 23:00:00+00:00,0.0,0.0,0.0,-0.12,1.59,0.0
2020-01-05 00:00:00+00:00,0.0,0.0,0.0,-0.24,1.52,0.0
2020-01-05 01:00:00+00:00,0.0,0.0,0.0,0.19,1.38,0.0
2020-01-05 02:00:00+00:00,0.0,0.0,0.0,0.12,1.31,0.0
2020-01-05 03:00:00+00:00,0.0,0.0,0.0,0.13,1.24,0.0
2020-01-05 04:00:00+00:00,0.0,0.0,0.0,0.26,1.24,0.0
2020-01-05 05:00:00+00:00,0.0,0.0,0.0,0.14,1.24,0.0
2020-01-05 06:00:00+00:00,0.0,0.0,0.0,0.13,1.24,0.0
2020-01-05 07:00:00+00:00,290.55,81.6,9.34,0.54,0.97,0.29055000000000003
2020-01-05 08:00:00+00:00,656.0,163.74,16.76,1.39,0.97,0.656
