time,temp_air,humidity,dew_point,precip,cloud_cover,cloud_low,cloud_mid,cloud_high,ghi,dhi_direct,dhi,dni,wind_speed,wind_dir,pressure
2021-01-01 00:00:00+00:00,5.2,68,-0.3,0.0,0,0,6,1,0.0,0.0,0.0,0.0,7.1,285,982.3
2021-01-01 01:00:00+00:00,5.1,68,-0.4,0.0,1,1,1,0,0.0,0.0,0.0,0.0,7.0,291,982.6
2021-01-01 02:00:00+00:00,4.8,69,-0.4,0.0,2,1,1,0,0.0,0.0,0.0,0.0,4.7,274,983.3
2021-01-01 03:00:00+00:00,4.1,72,-0.5,0.0,2,2,2,0,0.0,0.0,0.0,0.0,2.9,270,983.5
2021-01-01 04:00:00+00:00,3.5,75,-0.6,0.0,2,2,1,0,0.0,0.0,0.0,0.0,2.5,262,983.6
2021-01-01 05:00:00+00:00,3.3,75,-0.7,0.0,2,2,1,0,0.0,0.0,0.0,0.0,2.9,263,984.4
2021-01-01 06:00:00+00:00,3.3,75,-0.8,0.0,3,3,0,0,0.0,0.0,0.0,0.0,3.6,270,985.2
2021-01-01 07:00:00+00:00,3.5,73,-0.8,0.0,3,3,0,0,39.0,22.0,17.0,256.3,4.5,299,986.1
2021-01-01 08:00:00+00:00,4.8,75,0.8,0.0,4,4,1,0,168.0,119.0,49.0,580.4,4.0,5,986.6
2021-01-01 09:00:00+00:00,6.4,72,1.7,0.0,3,3,1,0,292.0,229.0,63.0,719.8,5.0,21,987.0
2021-01-01 10:00:00+00:00,7.8,67,1.9,0.0,2,2,1,0,380.0,310.0,70.0,791.1,5.2,34,986.9
2021-01-01 11:00:00+00:00,8.7,61,1.6,0.0,1,1,1,0,417.0,345.0,72.0,819.3,4.9,54,986.5
2021-01-01 12:00:00+00:00,9.6,55,0.9,0.0,1,1,1,0,398.0,328.0,70.0,812.1,6.1,90,986.1
2021-01-01 13:00:00+00:00,9.9,54,1.0,0.0,2,1,1,0,325.0,261.0,64.0,764.5,7.3,81,986.2
2021-01-01 14:00:00+00:00,9.4,63,2.8,0.0,2,2,1,0,206.0,152.0,54.0,638.9,4.0,63,986.1
2021-01-01 15:00:00+00:00,7.6,63,1.0,0.0,16,0,1,15,70.0,42.0,28.0,398.9,5.9,11,986.3
2021-01-01 16:00:00+00:00,8.2,59,0.6,0.0,1,0,0,0,1.0,0.0,1.0,0.0,4.0,333,986.8
2021-01-01 17:00:00+00:00,7.6,60,0.2,0.0,1,0,0,1,0.0,0.0,0.0,0.0,4.6,288,987.3
2021-01-01 18:00:00+00:00,7.1,60,-0.1,0.0,27,0,0,27,0.0,0.0,0.0,0.0,6.6,283,987.8
2021-01-01 19:00:00+00:00,6.3,63,-0.2,0.0,1,0,0,1,0.0,0.0,0.0,0.0,5.8,274,988.0
2021-01-01 20:00:00+00:00,5.7,66,-0.2,0.0,0,0,0,0,0.0,0.0,0.0,0.0,6.3,283,988.5
2021-01-01 21:00:00+00:00,5.4,66,-0.4,0.0,0,0,0,0,0.0,0.0,0.0,0.0,7.3,279,989.1
2021-01-01 22:00:00+00:00,5.3,66,-0.6,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.9,248,989.4
2021-01-01 23:00:00+00:00,5.1,67,-0.6,0.0,0,0,0,0,0.0,0.0,0.0,0.0,5.4,312,989.3
2021-01-02 00:00:00+00:00,4.9,67,-0.7,0.0,0,0,0,0,0.0,0.0,0.0,0.0,5.2,295,989.9
2021-01-02 01:00:00+00:00,4.4,69,-0.8,0.0,0,0,0,0,0.0,0.0,0.0,0.0,5.4,323,990.2
2021-01-02 02:00:00+00:00,4.2,69,-1.1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,7.1,319,990.4
2021-01-02 03:00:00+00:00,3.9,69,-1.4,0.0,0,0,0,0,0.0,0.0,0.0,0.0,5.4,312,990.5
2021-01-02 04:00:00+00:00,3.3,70,-1.6,0.0,0,0,0,0,0.0,0.0,0.0,0.0,5.6,345,990.6
2021-01-02 05:00:00+00:00,2.7,72,-1.9,0.0,1,0,1,0,0.0,0.0,0.0,0.0,7.4,346,990.6
2021-01-02 06:00:00+00:00,1.0,75,-2.8,0.0,1,0,0,0,0.0,0.0,0.0,0.0,8.1,347,991.0
2021-01-02 07:00:00+00:00,1.1,79,-2.2,0.0,0,0,0,0,40.0,22.0,18.0,256.1,5.1,352,991.3
2021-01-02 08:00:00+00:00,3.6,71,-1.2,0.0,1,1,1,0,172.0,123.0,49.0,599.3,6.5,3,992.0
2021-01-02 09:00:00+00:00,4.9,65,-1.0,0.0,1,1,0,0,298.0,235.0,63.0,737.3,5.7,18,992.2
2021-01-02 10:00:00+00:00,5.8,62,-0.9,0.0,2,2,0,0,385.0,316.0,69.0,804.5,6.0,33,991.5
2021-01-02 11:00:00+00:00,6.3,67,0.7,0.0,1,1,0,0,419.0,347.0,72.0,821.4,7.0,35,990.7
2021-01-02 12:00:00+00:00,7.9,60,0.6,0.0,2,2,1,0,398.0,327.0,71.0,806.2,7.4,47,990.1
2021-01-02 13:00:00+00:00,8.3,60,1.0,0.0,2,2,1,0,323.0,257.0,66.0,748.4,7.1,45,989.7
2021-01-02 14:00:00+00:00,6.1,79,2.7,0.0,5,5,2,0,204.0,149.0,55.0,620.4,5.9,47,989.1
2021-01-02 15:00:00+00:00,5.0,74,0.8,0.0,14,13,6,1,68.0,39.0,29.0,366.0,7.9,39,988.9
2021-01-02 16:00:00+00:00,6.5,71,1.6,0.0,13,12,4,0,1.0,0.0,1.0,0.0,5.2,12,989.4
2021-01-02 17:00:00+00:00,5.4,77,1.6,0.0,6,5,3,0,0.0,0.0,0.0,0.0,5.7,342,989.5
2021-01-02 18:00:00+00:00,2.8,86,0.6,0.0,11,10,5,0,0.0,0.0,0.0,0.0,7.1,345,989.2
2021-01-02 19:00:00+00:00,0.4,93,-0.6,0.0,78,21,73,10,0.0,0.0,0.0,0.0,9.1,342,988.7
2021-01-02 20:00:00+00:00,3.0,93,2.0,0.0,92,49,89,25,0.0,0.0,0.0,0.0,6.0,335,989.1
